,WALS_ID,ISO,Name,Macroarea,Country_ID,Latitude,Longitude,Family,Genus,Lenguaje de Señas,Status
1119,kmh,kgj,Kham,Eurasia,NP,28.5,82.75,Sino-Tibetan,Mahakiranti,0,L
1120,kmi,kcu,Kami,Africa,TZ,-6.75,38.0,Niger-Congo,Bantoid,0,L
1121,kmj,kdj,Karimojong,Africa,UG,3.0,34.1666666667,Eastern Sudanic,Nilotic,0,L
1122,kmk,xal,Kalmyk,Eurasia,CN RU MN,44.0,83.0,Altaic,Mongolic,0,L
1123,kmn,kue,Kuman,Papunesia,PG,-5.91666666667,145.0,Trans-New Guinea,Chimbu,0,L
1124,kmo,kpx,Koiali (Mountain),Papunesia,PG,-9.0,147.5,Trans-New Guinea,Koiarian,0,L
1125,kmp,kup,Kunimaipa,Papunesia,PG,-8.0,146.833333333,Trans-New Guinea,Goilalan,0,L
1126,kmr,kgq,Kamoro,Papunesia,ID,-4.33333333333,136.0,Trans-New Guinea,Asmat-Kamoro,0,L
1127,kms,xas,Kamass,Eurasia,RU,52.0,92.0,Uralic,Samoyedic,0,X
1128,kmt,kmt,Kemtuik,Papunesia,ID,-2.66666666667,140.333333333,Nimboran,Nimboran,0,L
1129,kmu,kjg,Khmu',Eurasia,LA,21.0,102.0,Austro-Asiatic,Khmuic,0,L
1130,kmw,xmu,Kamu,Australia,AU,-13.5833333333,130.833333333,Eastern Daly,Eastern Daly,0,X
1131,kmz,kms,Kamasau,Papunesia,PG,-3.91666666667,143.666666667,Torricelli,Marienberg,0,L
1132,kna,ktn,Karitiâna,South America,BR,-9.5,-64.0,Tupian,Arikem,0,L
1133,knb,khd,Kanum (Bädi),Papunesia,ID,-8.83333333333,140.75,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers,0,L
1134,knc,uwa,Kugu Nganhcara,Australia,AU,-14.4166666667,142.0,Pama-Nyungan,Northern Pama-Nyungan,0,X
1135,knd,kan,Kannada,Eurasia,IN,14.0,76.0,Dravidian,Southern Dravidian,0,L
1136,kng,kgp,Kaingang,South America,BR,-26.0,-52.0,Macro-Ge,Ge-Kaingang,0,L
1137,kni,kma,Konni,Africa,GH,10.25,-1.58333333333,Niger-Congo,Northern-Central Gur,0,L
1138,knk,kna,Kanakuru,Africa,NG,10.0,12.0,Afro-Asiatic,West Chadic,0,L
1139,knm,kun,Kunama,Africa,ET ER,14.5,37.0,,,0,L
1140,knn,kfk,Kinnauri,Eurasia,IN,31.5,78.0,Sino-Tibetan,Bodic,0,L
1141,kno,kxo,Kanoê,South America,BR,-13.25,-61.0,Kapixana,Kapixana,0,L
1142,knp,kcd,Kanum (Ngkâlmpw),Papunesia,ID,-8.66666666667,140.916666667,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers,0,L
1143,knq,rop,Kriol (Ngukurr),Australia,AU,-14.8333333333,135.0,other,Creoles and Pidgins,0,L
1144,knr,knc,Kanuri,Africa,NG TD NE SD,12.0,13.0,Saharan,Western Saharan,0,L
1145,knu,kyx,Konua,Papunesia,PG,-5.83333333333,154.833333333,West Bougainville,West Bougainville,0,L
1146,knw,mjd,Konkow,North America,US,39.5,-121.5,Penutian,Maiduan,0,L
1147,knz,khg,Kham (Tibetan) (Nangchen),Eurasia,CN,32.5,96.5,Sino-Tibetan,Bodic,0,L
1148,koa,cku,Koasati,North America,US,34.8333333333,-85.1666666667,Muskogean,Muskogean,0,L
1149,kob,kpw,Kobon,Papunesia,PG,-5.16666666667,144.333333333,Trans-New Guinea,Madang,0,L
1150,kod,kfa,Kodava,Eurasia,IN,12.1666666667,76.8333333333,Dravidian,Southern Dravidian,0,L
1151,koe,xwg,Koegu,Africa,ET,7.0,36.0833333333,Eastern Sudanic,Surmic,0,L
